method,scenario,horizon,minimum,median,p90,p95,p99,p99_5,p99_9,maximum,above_2,above_5,above_10,below_0_5
soft_log_t3_c5,ssp2-4.5,2030,0.8571428571428572,1.0,1.0069041298502477,1.0099846390168972,1.0295689417976899,1.0588993296999307,1.3333333333333333,2.0,0,0,0,0
soft_log_t3_c5,ssp2-4.5,2035,0.8571428571428572,1.0,1.014232282508379,1.0207674808720832,1.0714285714285714,1.1457438528845245,2.0,2.0,0,0,0,0
soft_log_t3_c5,ssp2-4.5,2040,0.8571428571428572,1.0,1.021978021978022,1.032258064516129,1.125,1.25,2.0,2.0,0,0,0,0
soft_log_t3_c5,ssp2-4.5,2045,0.8571428571428572,1.0,1.0299612966104945,1.0444444444444443,1.1822755667955034,1.3333333333333335,2.0,3.0,3,0,0,0
soft_log_t3_c5,ssp2-4.5,2050,0.5,1.0,1.0384615384615385,1.0562258093246302,1.25,1.4999999999999998,2.0,3.893466956466705,4,0,0,0
soft_log_t3_c5,ssp2-4.5,2055,0.4,1.0,1.0457668235623228,1.0667699936189847,1.2912607768979787,1.5,2.0,3.893466956466705,5,0,0,1
soft_log_t3_c5,ssp2-4.5,2060,0.30044104288862894,1.0,1.0524597292903837,1.0757743696647812,1.3333333333333333,1.562346738384964,2.0,4.4266987293975655,8,0,0,1
soft_log_t3_c5,ssp2-4.5,2065,0.30044104288862894,1.0,1.0585194683104964,1.0839212389538444,1.3925441258397504,2.0,2.0,4.7898263484103705,11,0,0,1
soft_log_t3_c5,ssp2-4.5,2070,0.30044104288862894,1.0,1.0653174445695806,1.0927941640149887,1.4811670648482522,2.0,2.206131004366358,4.954790193414075,14,0,0,1
soft_log_t3_c5,ssp2-4.5,2075,0.22590197823019484,1.0,1.0717638332831088,1.102623243695716,1.5,2.0,3.3335812452599405,4.99937918450797,19,0,0,1
soft_log_t3_c5,ssp2-4.5,2080,0.22590197823019484,1.0,1.078152513519752,1.1111111111111112,1.5366085107694598,2.0,4.006167835620457,4.999983688582738,26,0,0,1
soft_log_t3_c5,ssp2-4.5,2085,0.22590197823019484,1.0,1.0839487429166619,1.118590291188722,1.6813821246578708,2.0,4.4306208430723855,4.999998799844405,33,0,0,1
soft_log_t3_c5,ssp2-4.5,2090,0.22590197823019484,1.0,1.090909090909091,1.1284270868537412,1.8813845294364049,2.0,4.775232583813774,4.99999979351816,36,0,0,1
soft_log_t3_c5,ssp2-4.5,2095,0.22590197823019484,1.0,1.098660015012903,1.138790552614676,2.0,2.0,4.899684399256837,4.9999999344487325,41,0,0,1
soft_log_t3_c5,ssp2-4.5,2100,0.22590197823019484,1.0,1.1059329072615522,1.146979698892038,2.0,2.0,4.94494427138895,4.99999997008664,43,0,0,1
soft_log_t3_c5,ssp5-8.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
soft_log_t3_c5,ssp5-8.5,2030,0.4,1.0,1.0140217767476518,1.0222197181083206,1.043718873213944,1.0769230769230769,1.5,2.0,0,0,0,1
soft_log_t3_c5,ssp5-8.5,2035,0.22590197823019484,1.0,1.0303030303030303,1.0457025701281704,1.0999999999999999,1.25,2.0,2.0,0,0,0,1
soft_log_t3_c5,ssp5-8.5,2040,0.20182489287421365,1.0,1.048722305077382,1.0714285714285714,1.2311686694516952,1.3333333333333335,2.0,2.2227557232273,3,0,0,1
soft_log_t3_c5,ssp5-8.5,2045,0.20182489287421365,1.0,1.0666666666666667,1.096105876851441,1.3333333333333333,1.5091666666666141,2.0,3.0,4,0,0,1
soft_log_t3_c5,ssp5-8.5,2050,0.20182489287421365,1.0,1.0851266067487912,1.1235098297287043,1.3789210390660696,2.0,2.0,3.893466956466705,5,0,0,1
soft_log_t3_c5,ssp5-8.5,2055,0.20182489287421365,1.0,1.1052631578947367,1.1498880452488207,1.5,2.0,2.0,4.954790193414075,11,0,0,1
soft_log_t3_c5,ssp5-8.5,2060,0.20182489287421365,1.0,1.1253281575080591,1.1753465725821493,1.5,2.0,2.1239444444442293,4.99937918450797,14,0,0,1
soft_log_t3_c5,ssp5-8.5,2065,0.20182489287421365,1.0,1.1493183022359985,1.2,1.9256357373285882,2.0,2.5,4.999948521729321,19,0,0,1
soft_log_t3_c5,ssp5-8.5,2070,0.20012145455971733,1.0001,1.1761420114045913,1.2316195341365446,2.0,2.0,2.5119557377047177,4.999991586017878,27,0,0,1
soft_log_t3_c5,ssp5-8.5,2075,0.20005070635369446,1.0005360016025124,1.2011546488147375,1.2622536669593665,2.0,2.0,2.8609063345043824,4.999997549525354,32,0,0,1
soft_log_t3_c5,ssp5-8.5,2080,0.20005070635369446,1.0013268592241675,1.2298884851865601,1.3174603174603174,2.0,2.0,3.3236957935951974,4.9999991155471655,40,0,0,1
soft_log_t3_c5,ssp5-8.5,2085,0.20001644122131865,1.0028323999630349,1.251872099250832,1.3418806161745827,2.0,2.0,3.8995717179088083,4.99999963081018,49,0,0,2
soft_log_t3_c5,ssp5-8.5,2090,0.20001644122131865,1.0053232680934125,1.2871053109568538,1.4248118252249236,2.0,2.0,4.324048311715311,4.999999819183973,58,0,0,2
soft_log_t3_c5,ssp5-8.5,2095,0.20001644122131865,1.007957144175093,1.32783,1.5,2.0,2.2168994123063404,4.5004833939989135,4.999999901116271,67,0,0,2
soft_log_t3_c5,ssp5-8.5,2100,0.20001644122131865,1.0124219929652487,1.3501094890510952,1.5,2.0,2.5,4.623712579988774,4.999999943707245,89,0,0,2
