cell_id,asset_id,report_date,ticcs_subclass,economic_content_fingerprint,expected_2025_overall_rating,expected_2030_revenue_growth,expected_2030_market_demand_impact,expected_2030_market_demand_rating,surface,source_uri
280480,USA_09209,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_280480_PA_PJM_SolarPV_transition_risks.xlsx
281811,USA_09312,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_281811_WY_WEIM_SolarPV_transition_risks.xlsx
281914,USA_09415,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_281914_OH_PJM_SolarPV_transition_risks.xlsx
283249,USA_09517,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_283249_CO_WEIM_SolarPV_transition_risks.xlsx
283352,USA_09620,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_283352_OH_PJM_SolarPV_transition_risks.xlsx
284691,USA_09723,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_284691_CO_WEIM_SolarPV_transition_risks.xlsx
284794,USA_09826,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_284794_OH_PJM_SolarPV_transition_risks.xlsx
286131,USA_09929,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_286131_CO_WEIM_SolarPV_transition_risks.xlsx
286234,USA_10032,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_286234_OH_PJM_SolarPV_transition_risks.xlsx
287575,USA_10134,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_287575_CO_WEIM_SolarPV_transition_risks.xlsx
