method,scenario,horizon,baseline_eal_rate,future_eal_rate_limit,cells_exceeding_limit,share_exceeding_limit
soft_log_t2_c5,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.02,0.1,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.05,0.1,98,0.008215962441314555
soft_log_t2_c5,ssp2-4.5,2100,0.05,0.5,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.05,1.0,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.1,0.1,7085,0.5939805499664654
soft_log_t2_c5,ssp2-4.5,2100,0.1,0.5,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.02,0.1,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.05,0.1,108,0.009054325955734407
soft_log_t2_c5,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.1,0.1,8377,0.7022971160295104
soft_log_t2_c5,ssp5-8.5,2100,0.1,0.5,0,0.0
soft_log_t2_c5,ssp5-8.5,2100,0.1,1.0,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.02,0.1,37,0.003101945003353454
soft_log_t2_c10,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.05,0.1,98,0.008215962441314555
soft_log_t2_c10,ssp2-4.5,2100,0.05,0.5,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.05,1.0,0,0.0
soft_log_t2_c10,ssp2-4.5,2100,0.1,0.1,7085,0.5939805499664654
soft_log_t2_c10,ssp2-4.5,2100,0.1,0.5,37,0.003101945003353454
soft_log_t2_c10,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.02,0.1,28,0.002347417840375587
soft_log_t2_c10,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.05,0.1,108,0.009054325955734407
soft_log_t2_c10,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.1,0.1,8377,0.7022971160295104
soft_log_t2_c10,ssp5-8.5,2100,0.1,0.5,28,0.002347417840375587
soft_log_t2_c10,ssp5-8.5,2100,0.1,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.02,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.05,0.1,98,0.008215962441314555
soft_log_t3_c5,ssp2-4.5,2100,0.05,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.05,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.1,0.1,7085,0.5939805499664654
soft_log_t3_c5,ssp2-4.5,2100,0.1,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.02,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.05,0.1,108,0.009054325955734407
soft_log_t3_c5,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.1,0.1,8377,0.7022971160295104
soft_log_t3_c5,ssp5-8.5,2100,0.1,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.1,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.02,0.1,38,0.0031857813547954395
soft_log_t3_c10,ssp2-4.5,2100,0.02,0.5,0,0.0
