cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,source_uri,ssp2-4.5_baseline_available,ssp2-4.5_future_nonnull_count,ssp5-8.5_baseline_available,ssp5-8.5_future_nonnull_count
247270,171,1030,47.25,-102.5,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247270_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
247274,171,1034,47.25,-101.5,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247274_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
248690,172,1010,47.0,-107.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248690_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248693,172,1013,47.0,-106.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248693_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248694,172,1014,47.0,-106.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248694_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248695,172,1015,47.0,-106.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248695_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248696,172,1016,47.0,-106.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248696_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248697,172,1017,47.0,-105.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248697_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248698,172,1018,47.0,-105.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248698_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248699,172,1019,47.0,-105.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248699_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248700,172,1020,47.0,-105.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248700_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
248702,172,1022,47.0,-104.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248702_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
