cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr
274671,190,1071,42.5,-92.25,IA
274677,190,1077,42.5,-90.75,IA
274707,190,1107,42.5,-83.25,MI
274708,190,1108,42.5,-83.0,MI
276003,191,963,42.25,-119.25,OR
276004,191,964,42.25,-119.0,OR
276006,191,966,42.25,-118.5,OR
276009,191,969,42.25,-117.75,OR
276010,191,970,42.25,-117.5,OR
276012,191,972,42.25,-117.0,ID
276018,191,978,42.25,-115.5,ID
276044,191,1004,42.25,-109.0,WY
276045,191,1005,42.25,-108.75,WY
276047,191,1007,42.25,-108.25,WY
276048,191,1008,42.25,-108.0,WY
276054,191,1014,42.25,-106.5,WY
276055,191,1015,42.25,-106.25,WY
276056,191,1016,42.25,-106.0,WY
276062,191,1022,42.25,-104.5,WY
276066,191,1026,42.25,-103.5,NE
276074,191,1034,42.25,-101.5,NE
276080,191,1040,42.25,-100.0,NE
276081,191,1041,42.25,-99.75,NE
276083,191,1043,42.25,-99.25,NE
276098,191,1058,42.25,-95.5,IA
276145,191,1105,42.25,-83.75,MI
277442,192,962,42.0,-119.5,OR
277443,192,963,42.0,-119.25,OR
277444,192,964,42.0,-119.0,OR
277446,192,966,42.0,-118.5,OR
277451,192,971,42.0,-117.25,OR
277452,192,972,42.0,-117.0,NV
277453,192,973,42.0,-116.75,NV
277454,192,974,42.0,-116.5,ID
277468,192,988,42.0,-113.0,ID
277481,192,1001,42.0,-109.75,WY
277482,192,1002,42.0,-109.5,WY
277486,192,1006,42.0,-108.5,WY
277487,192,1007,42.0,-108.25,WY
277489,192,1009,42.0,-107.75,WY
277490,192,1010,42.0,-107.5,WY
277492,192,1012,42.0,-107.0,WY
277493,192,1013,42.0,-106.75,WY
277495,192,1015,42.0,-106.25,WY
277496,192,1016,42.0,-106.0,WY
277501,192,1021,42.0,-104.75,WY
277502,192,1022,42.0,-104.5,WY
277506,192,1026,42.0,-103.5,NE
277539,192,1059,42.0,-95.25,IA
277545,192,1065,42.0,-93.75,IA
277557,192,1077,42.0,-90.75,IA
277560,192,1080,42.0,-90.0,IL
277568,192,1088,42.0,-88.0,IL
277569,192,1089,42.0,-87.75,IL
278886,193,966,41.75,-118.5,NV
278889,193,969,41.75,-117.75,NV
278891,193,971,41.75,-117.25,NV
278892,193,972,41.75,-117.0,NV
278893,193,973,41.75,-116.75,NV
278894,193,974,41.75,-116.5,NV
278903,193,983,41.75,-114.25,NV
278907,193,987,41.75,-113.25,UT
278924,193,1004,41.75,-109.0,WY
278925,193,1005,41.75,-108.75,WY
278926,193,1006,41.75,-108.5,WY
278928,193,1008,41.75,-108.0,WY
278929,193,1009,41.75,-107.75,WY
278931,193,1011,41.75,-107.25,WY
278932,193,1012,41.75,-107.0,WY
278935,193,1015,41.75,-106.25,WY
278936,193,1016,41.75,-106.0,WY
278937,193,1017,41.75,-105.75,WY
278941,193,1021,41.75,-104.75,WY
278944,193,1024,41.75,-104.0,NE
278949,193,1029,41.75,-102.75,NE
278952,193,1032,41.75,-102.0,NE
278955,193,1035,41.75,-101.25,NE
279008,193,1088,41.75,-88.0,IL
279009,193,1089,41.75,-87.75,IL
279025,193,1105,41.75,-83.75,MI
279026,193,1106,41.75,-83.5,MI
280323,194,963,41.5,-119.25,NV
280325,194,965,41.5,-118.75,NV
280328,194,968,41.5,-118.0,NV
280333,194,973,41.5,-116.75,NV
280334,194,974,41.5,-116.5,NV
280338,194,978,41.5,-115.5,NV
280341,194,981,41.5,-114.75,NV
280346,194,986,41.5,-113.5,UT
280347,194,987,41.5,-113.25,UT
280348,194,988,41.5,-113.0,UT
280351,194,991,41.5,-112.25,UT
280359,194,999,41.5,-110.25,WY
280360,194,1000,41.5,-110.0,WY
280365,194,1005,41.5,-108.75,WY
280369,194,1009,41.5,-107.75,WY
280376,194,1016,41.5,-106.0,WY
280380,194,1020,41.5,-105.0,WY
280381,194,1021,41.5,-104.75,WY
280390,194,1030,41.5,-102.5,NE
280396,194,1036,41.5,-101.0,NE
280413,194,1053,41.5,-96.75,NE
280418,194,1058,41.5,-95.5,IA
280419,194,1059,41.5,-95.25,IA
280420,194,1060,41.5,-95.0,IA
280421,194,1061,41.5,-94.75,IA
280433,194,1073,41.5,-91.75,IA
280465,194,1105,41.5,-83.75,OH
280466,194,1106,41.5,-83.5,OH
280467,194,1107,41.5,-83.25,OH
281765,195,965,41.25,-118.75,NV
281767,195,967,41.25,-118.25,NV
281770,195,970,41.25,-117.5,NV
281771,195,971,41.25,-117.25,NV
